id,content,start,end,style
1,Warm-Up ,2019-01-16,,background-color: gold;
2,Paper Critique,2019-02-20,,background-color: aqua;
3,Q1-3,2019-02-28,,background-color: pink;
4,Q4-5,2019-03-25,,background-color: pink;
5,Project Groups and Initial Proposal,2019-01-23,,background-color: lavender;
6,Finalized Project Proposal,2019-02-13,,background-color: lavender;
7,Project Progress Report,2019-03-13,,background-color: lavender;
8,Presentation Session,2019-04-03,,background-color: lavender;
9,Github Repo,2019-04-03,,background-color: lavender;
10,Individual Report,2019-04-04,,background-color: lavender;
11,Seminar 1,2019-01-04,,background-color: palegreen;
12,Seminar 2a&b,2019-01-11,,background-color: palegreen;
13,Seminar 2c ,2019-01-18,,background-color: palegreen;
14,Seminar 3 ,2019-01-25,,background-color: palegreen;
15,Seminar 4 ,2019-02-01,,background-color: palegreen;
16, Seminar 6 ,2019-02-15,,background-color: palegreen;
