course,lect,dow,month,day,week,lecture_num,raw_notes,instructor
STAT540-Seminar,seminar-1,Tue,January,6,1,1,"Introduction to version control, Git, GitHub",Asfar
STAT540-Seminar,seminar-2a,Tue,January,13,2,2,"Introduction to Markdown, Knitr",Asfar
STAT540-Seminar,seminar-2b,Tue,January,13,2,2,R graphics -- Intro to ggplot2,Rachel
STAT540-Seminar,seminar-3,Tue,January,20,3,3,Probability and simulations,Rachel
STAT540-Seminar,seminar-4,Tue,January,27,4,4,Reading in data and wrangling,Asfar
STAT540-Seminar,seminar-5,Tue,February,3,5,5,"Two group testing, fitting and interpreting linear models",Asfar
STAT540-Seminar,seminar-6,Tue,February,10,6,6,RNA-seq: from beginning to end -- BAM to count data,Rachel
STAT540-Seminar,No Seminar,Tue,February,17,7,,No seminar (reading break),
STAT540-Seminar,seminar-7,Tue,February,24,8,7,Single-cell RNA-seq: unsupervised learning,Rachel
STAT540-Seminar,seminar-8,Tue,March,3,9,8,"Supervised learning, cross-validation, variable selection",Asfar
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,dow,month,day,week,,Presentations,instructor
STAT540,lecture-1,Tue,January,6,1,1,Introduction to high-dimensional biology,Yongjin
STAT540,lecture-2,Thu,January,8,1,2,Statistics review and matrix algebra primer,Yongjin
STAT540,lecture-3,Tue,January,13,2,3,Formulating biological questions,Yongjin
STAT540,lecture-4,Thu,January,15,2,4,Hypothesis testing,Yongjin
STAT540,lecture-5,Tue,January,20,3,5,RNA-seq data analysis,Yongjin
STAT540,lecture-6,Thu,January,22,3,6,Statistical inference,Yongjin
STAT540,lecture-7,Tue,January,27,4,7,Causality and study design with visualization,Yongjin
STAT540,,Thu,January,29,4,,Project proposal,
STAT540,lecture-8,Tue,February,3,5,8,Single-cell genomic technology,Yongjin
STAT540,lecture-9,Thu,February,5,5,9,Matrix factorization,Yongjin
STAT540,lecture-10,Tue,February,10,6,10,Genome-wide association studies,Yongjin
STAT540,lecture-11,Thu,February,12,6,11,Multiple hypothesis testing,Yongjin
STAT540,break,Tue,February,17,7,NA,Reading break (no class),
STAT540,break,Thu,February,19,7,NA,Reading break (no class),
STAT540,lecture-12,Tue,February,24,8,12,Regulatory genomics,Yongjin
STAT540,lecture-13,Thu,February,26,8,13,Regression and Classification,Yongjin
STAT540,lecture-14,Tue,March,3,9,14,Biological networks (cells and proteins),Yongjin
STAT540,lecture-15,Thu,March,5,9,15,Clustering and differential analysis,Yongjin
STAT540,lecture-16,Tue,March,10,10,16,Variational autoencoder in single-cell data,Yongjin
STAT540,lecture-17,Thu,March,12,10,17,Decoding Biological Systems with AI ,Dr. Xin Tang
STAT540,lecture-18,Tue,March,17,11,18,Multiomic data integration,Dr. Amrit Singh
STAT540,lecture-19,Thu,March,19,11,19,Research Ethics and Data Security,Yongjin
STAT540,lecture-20,Tue,March,24,12,20,How to Present Your Research ,Yongjin
STAT540,Presentations,Tue,March,31,13,NA,Final Project Presentations,
STAT540,Presentations,Thu,April,2,13,NA,Final Project Presentations,
STAT540,Presentations,Tue,April,7,14,NA,Final Project Presentations,
STAT540,Presentations,Thu,April,9,14,NA,Final Project Presentations,
