course,lect,dow,month,day,week,lecture_num,raw_notes,instructor,mode
STAT540-Seminar,seminar-01,Mon,January,10,1,1,"Introduction to version control, Git, GitHub",Marco,Zoom
STAT540-Seminar,seminar-02a,Mon,January,17,2,2,"Introduction to Markdown, Knitr",Asfar,Zoom
STAT540-Seminar,seminar-02b,Mon,January,17,2,2,R graphics -- Intro to ggplot2,Asfar,Zoom
STAT540-Seminar,seminar-03,Mon,January,24,3,3,Getting your hands dirty with R -- simulate data and do some statistics,Marco,In person
STAT540-Seminar,seminar-04,Mon,January,31,4,4,Load and analyze some gene expression data -- data aggregation with dplyr,Asfar,In person
STAT540-Seminar,seminar-05,Mon,February,7,5,5,"Two group testing, fitting and interpreting linear models",Marco,In person
STAT540-Seminar,seminar-06,Mon,February,14,6,6,RNA-seq upstream -- BAM to count data,Asfar,In person
STAT540-Seminar,No Seminar,Mon,February,21,7,NA,Reading break (no class),,
STAT540-Seminar,seminar-07,Mon,February,28,8,7,Gene set enrichment analysis ,Marco,In person
STAT540-Seminar,No Seminar,Mon,March,7,9,NA,Visit office hours for group project advice,,
STAT540-Seminar,seminar-08,Mon,March,14,10,8,"Dimensionality reduction and data visualization -- clustering, PCA, t-sne",Asfar,In person
STAT540-Seminar,seminar-09,Mon,March,21,11,9,"Supervised learning, cross-validation, variable selection",Asfar,In person
STAT540-Seminar,seminar-10,Mon,March,28,12,10,Methylation microarray analysis,Marco,In person
STAT540-Seminar,seminar-11,Mon,April,4,13,11,"eQTL (or mQTL) analysis -- finding cis variants per gene, testing for association",Marco,In person
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
STAT540,lecture-1,Mon,January,10,1,1,Course intro; Molecular biology primer,Keegan,Zoom 
STAT540,lecture-2,Wed,January,12,1,2,"High-dimensional biology intro: RNA, DNA, methylation, ChiP-Seq",Keegan,Zoom 
STAT540,lecture-3,Mon,January,17,2,3,Exploratory data analysis & experimental design,Keegan,Zoom
STAT540,lecture-4,Wed,January,19,2,4,Statistics & probability primer,Keegan,Zoom
STAT540,lecture-5,Mon,January,24,3,5,Statistical inference: two groups,Keegan,In person
STAT540,lecture-6,Wed,January,26,3,6,Statistical inference: linear regression & ANOVA,Keegan,In person
STAT540,lecture-7,Mon,January,31,4,7,Statistical inference: multiple linear regression,Keegan,In person
STAT540,lecture-8,Wed,February,2,4,8,Statistical inference: continuous model & limma,Keegan,In person
STAT540,lecture-9,Mon,February,7,5,9,Statistical inference: multiple testing,Keegan,In person
STAT540,lecture-10,Wed,February,9,5,10,Application of statistical inference to RNA-seq I,Keegan,In person
STAT540,lecture-11,Mon,February,14,6,11,Application of statistical inference to RNA-seq II,Keegan,In person
STAT540,lecture-12,Wed,February,16,6,12,Biological network and Enrichment analysis,Yongjin,In person
STAT540,break,Mon,February,21,7,NA,Family day (no class),,
STAT540,break,Wed,February,23,7,NA,Reading break (no class),,
STAT540,lecture-13,Mon,February,28,8,13,Unsupervised learning: clustering and dimensionality reduction,Yongjin,In person
STAT540,lecture-14,Wed,March,2,8,14,Supervised learning I: regression and classification,Yongjin,In person
STAT540,lecture-15,Mon,March,7,9,15,Supervised learning II: model selection,Yongjin,In person
STAT540,lecture-16,Wed,March,9,9,16,Statistical methods for epigenetics,Keegan,In person
STAT540,lecture-17,Mon,March,14,10,17,Causal inference and confounding effects,Yongjin,In person
STAT540,lecture-18,Wed,March,16,10,18,Genetics and Genome-Wide Association Studies,Yongjin,In person
STAT540,lecture-19,Mon,March,21,11,19,Cancer genomics and clonal evolution,Guest: Andrew Roth,In person
STAT540,lecture-20,Wed,March,23,11,20,Advanced Statistical Genetics Methods,Yongjin,In person
STAT540,lecture-21,Mon,March,28,12,21,Single cell Genomics,Yongjin,In person
STAT540,Presentations,Wed,March,30,12,22,Final Project Presentations,,In person
STAT540,Presentations,Mon,April,4,13,23,Final Project Presentations,,In person
STAT540,Presentations,Wed,April,6,13,24,Final Project Presentations,,In person
